14.23	25934	15738	43997	127	44045	43985	.28	47150	23498	43922	33664	1065	1
43874	28491	41671	43872	100	23774	27791	.26	46753	13971	43952	43924	1050	1
13.16	13181	24504	44000	101	44045	45352	.3	29618	24959	43891	42795	1185	1
14.37	34700	43953	44059	113	31107	17958	.24	43132	44050	.86	16497	1480	1
13.24	21582	31809	21	118	44045	25235	.39	29952	11780	43922	34001	735	1
43875	27760	16469	43876	112	46447	14305	.34	35431	27546	43952	31079	1450	1
14.39	31778	16469	43996	96	43953	19025	.3	35796	45778	43862	21245	1290	1
43996	42036	22313	43999	121	43984	18660	.31	45658	43956	43983	21245	1295	1
14.83	23377	42767	14	97	44045	35827	.29	35796	43866	44044	31079	1045	1
13.86	12785	46419	16	98	35827	42064	.22	31048	44743	43831	20149	1045	1
43844	42401	43892	18	105	34731	11749	.22	13912	27515	45658	42795	1510	1
44179	17533	11720	44059	95	43863	15738	.26	20821	5	42736	29983	1280	1
13.75	26665	15008	16	89	43984	27791	.29	29587	43987	42005	44076	1320	1
14.75	26665	14277	43932	91	43833	25263	.43	29618	43926	45658	26696	1150	1
14.38	31778	13912	12	102	43893	23437	.29	35096	43958	43862	3	1547	1
13.63	29587	44014	43878	112	31079	33270	.3	16803	43897	46753	32174	1310	1
43904	33604	26330	20	120	44045	41699	.33	35431	43867	44013	23774	1280	1
13.83	20821	22678	20	115	34731	43924	.4	26299	43988	41275	20852	1130	1
14.19	21551	17564	43967	108	43893	34029	.32	31413	44020	44927	29983	1680	1
13.64	43833	20486	43876	116	44014	43893	.17	24108	43835	.96	13210	845	1
43996	23012	46784	16	126	3	42795	.24	43832	23863	44075	25993	780	1
34304	44046	23774	44000	102	15008	15008	.25	35796	43955	43891	19054	770	1
13.71	31413	13181	43998	101	22313	32174	.27	25204	44046	44136	4	1035	1
31382	43983	19025	44060	95	17564	13547	.26	16803	34029	44075	23071	1015	1
43964	29587	22313	20	96	19391	22313	.28	24108	19054	44166	30011	845	1
43964	43953	44621	25	124	23043	24869	.47	33604	21245	41275	43864	830	1
13.39	28126	22678	43846	93	31079	34366	.34	16438	44047	.92	44621	1195	1
43903	26299	41671	17	94	43923	43497	.27	12785	34759	43862	28157	1285	1
